STATE_FIPS,CNTY_FIPS,STCOFIPS,TRACT,FIPS,STATE_NAME,STATE_ABBR,COUNTY,G1V1R,G1V2R,G1V3R,G1V4R,G2V1R,G2V2R,G2V3R,G2V4R,G3V1R,G3V2R,G4V1R,G4V2R,G4V3R,G4V4R,G4V5R,CAG1V1P,CAG1V2P,CAG1V3P,CAG1V4P,CAG1TP,CAG2V1P,CAG2V2P,CAG2V3P,CAG2V4P,CAG2TP,CAG3V1P,CAG3V2P,CAG3TP,CAG4V1P,CAG4V2P,CAG4V3P,CAG4V4P,CAG4V5P,CAG4TP,RPL_THEMES,CAG1V1F,CAG1V2F,CAG1V3F,CAG1V4F,CAG1TF,CAG2V1F,CAG2V2F,CAG2V3F,CAG2V4F,CAG2TF,CAG3V1F,CAG3V2F,CAG3TF,CAG4V1F,CAG4V2F,CAG4V3F,CAG4V4F,CAG4V5F,CAG4TF,CATF,Totpop2000,Totalhu,G1V1N,G1V2N,G1V4N,G2V1N,G2V2N,G2V3N,G2V4N,G3V1N,G3V2N,G4V1N,G4V2N,G4V3N,G4V4N,G4V5N
06,037,06037,464200,06037464200,California,CA,Los Angeles,0.0605,0.0633,51547.0,0.4434,0.1597,0.25735294,0.123908,0.04875518,0.64500683,0.09288643,0.0044955,0.0,0.0495,0.0495,0.00119699,0.2811,0.5192,0.0468,0.828,0.402,0.8278,0.4341,0.1368,0.2017,0.2943,0.6434,0.6106,0.6292,0.1884,0.0,0.2823,0.3835,0.3536,0.1309,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5848.0,2002.0,354.0,155.0,209.0,934.0,1505.0,695.0,94.0,3772.0,521.0,9.0,0.0,95.0,95.0,7.0
06,037,06037,480002,06037480002,California,CA,Los Angeles,0.0459,0.0312,30255.0,0.1819,0.1515,0.24306839,0.11183355,0.0630063,0.62877387,0.09070221,0.0,0.0,0.0586,0.018,0.00154035,0.1897,0.1745,0.2262,0.499,0.203,0.8,0.36,0.0936,0.3138,0.2801,0.6292,0.6018,0.6167,0.0,0.0,0.3334,0.1127,0.3803,0.0608,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3246.0,1157.0,149.0,48.0,221.0,492.0,789.0,344.0,70.0,2041.0,279.0,0.0,0.0,65.0,20.0,5.0
06,037,06037,480011,06037480011,California,CA,Los Angeles,0.1313,0.0642,20052.0,0.2415,0.1185,0.23143588,0.14417822,0.08401084,0.73350403,0.15636822,0.37912952,0.0,0.1983,0.0688,0.0,0.5778,0.5272,0.5001,0.597,0.573,0.6331,0.3002,0.2297,0.4714,0.3098,0.7171,0.7543,0.7461,0.8804,0.0,0.6845,0.5094,0.0,0.3721,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5077.0,1907.0,665.0,163.0,729.0,602.0,1175.0,686.0,155.0,3724.0,744.0,723.0,0.0,366.0,127.0,0.0
06,037,06037,480012,06037480012,California,CA,Los Angeles,0.1149,0.0498,21599.0,0.2954,0.1192,0.22792437,0.18043621,0.07973421,0.64346561,0.15379537,0.31905781,0.00374732,0.1714,0.0807,0.0,0.5279,0.3927,0.4437,0.68,0.52,0.6365,0.2842,0.4325,0.4392,0.3849,0.6429,0.7506,0.7068,0.8454,0.5491,0.6415,0.5809,0.0,0.5934,0.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4813.0,1868.0,552.0,121.0,468.0,574.0,1097.0,819.0,144.0,3097.0,699.0,596.0,7.0,310.0,146.0,0.0
06,037,06037,480101,06037480101,California,CA,Los Angeles,0.0863,0.0627,20936.0,0.1318,0.0956,0.24260042,0.1480431,0.08009708,0.67177589,0.12592172,0.01405152,0.0,0.2061,0.0389,0.0,0.4127,0.5154,0.466,0.374,0.434,0.4808,0.3573,0.2493,0.441,0.2597,0.6695,0.696,0.6922,0.2636,0.0,0.6955,0.3017,0.0,0.1398,0.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3784.0,1281.0,326.0,116.0,281.0,362.0,918.0,522.0,99.0,2542.0,444.0,18.0,0.0,254.0,48.0,0.0
06,037,06037,480102,06037480102,California,CA,Los Angeles,0.098,0.0406,21902.0,0.171,0.133,0.23596847,0.18718692,0.11701363,0.73537138,0.13939081,0.15235457,0.00554016,0.2145,0.0507,0.01934559,0.4618,0.2847,0.4349,0.475,0.395,0.7125,0.3249,0.4732,0.6749,0.5818,0.7184,0.7239,0.7316,0.6513,0.5998,0.7073,0.3911,0.7857,0.8045,0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4187.0,1444.0,401.0,77.0,420.0,557.0,988.0,710.0,163.0,3079.0,540.0,220.0,8.0,300.0,71.0,81.0
06,037,06037,480201,06037480201,California,CA,Los Angeles,0.0504,0.0361,30461.0,0.3077,0.2,0.21661324,0.10592723,0.07253886,0.50267094,0.06537253,0.003663,0.0,0.0516,0.0486,0.02537393,0.2173,0.2282,0.2205,0.694,0.294,0.9266,0.2362,0.074,0.3863,0.3054,0.5179,0.5073,0.5158,0.1749,0.0,0.2933,0.3759,0.8314,0.2456,0.312,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3744.0,1365.0,184.0,69.0,236.0,749.0,811.0,361.0,98.0,1882.0,229.0,5.0,0.0,69.0,65.0,95.0
06,037,06037,480202,06037480202,California,CA,Los Angeles,0.0231,0.0245,29738.0,0.1679,0.1865,0.18343722,0.22132317,0.04545454,0.50356188,0.05235602,0.0,0.0,0.0272,0.0261,0.0,0.0551,0.1037,0.2353,0.468,0.133,0.9016,0.1428,0.6941,0.1755,0.4415,0.5188,0.449,0.4861,0.0,0.0,0.1502,0.186,0.0,0.018,0.224,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2246.0,880.0,52.0,29.0,219.0,419.0,412.0,465.0,40.0,1131.0,110.0,0.0,0.0,24.0,23.0,0.0
06,037,06037,480301,06037480301,California,CA,Los Angeles,0.152,0.0757,15249.0,0.361,0.0999,0.21467889,0.19736154,0.08850129,0.8967584,0.24449367,0.25392341,0.0,0.2825,0.1509,0.00342507,0.6383,0.6153,0.6889,0.751,0.729,0.513,0.2287,0.5375,0.5047,0.3806,0.8531,0.875,0.8743,0.7852,0.0,0.7847,0.8105,0.4952,0.7037,0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8175.0,3186.0,1242.0,312.0,1529.0,817.0,1755.0,1511.0,274.0,7331.0,1876.0,809.0,0.0,876.0,468.0,28.0
06,037,06037,231710,06037231710,California,CA,Los Angeles,0.5105,0.1939,5530.0,0.73,0.0292,0.38229142,0.20645161,0.24336283,0.99186613,0.31174193,0.22195704,0.0,0.536,0.4051,0.0,0.9903,0.9665,0.9982,0.984,0.999,0.0371,0.9417,0.5988,0.9755,0.7735,0.9836,0.9366,0.9776,0.7474,0.0,0.9566,0.9806,0.0,0.6201,0.902,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,10.0,4303.0,1257.0,2171.0,274.0,1490.0,126.0,1645.0,800.0,275.0,4268.0,1208.0,279.0,0.0,602.0,455.0,0.0
06,037,06037,231720,06037231720,California,CA,Los Angeles,0.424,0.1748,8792.0,0.6483,0.0691,0.37935145,0.30117584,0.23455684,0.98521697,0.25414216,0.33468724,0.0,0.451,0.3701,0.0,0.9722,0.9508,0.9378,0.95,0.988,0.2788,0.9347,0.9592,0.9688,0.9802,0.9715,0.8867,0.9488,0.8567,0.0,0.9114,0.9759,0.0,0.6486,0.958,1.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,10.0,4194.0,1231.0,1768.0,225.0,1265.0,290.0,1591.0,1127.0,262.0,4132.0,951.0,412.0,0.0,507.0,416.0,0.0
